product_id,style_id,color_id,product_name,composition,color,fit,price
690449001,690449,1,skinny_jeans,"cotton 99%, spandex 1%",,skinny_fit,13.99
690449002,690449,2,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,14.99
690449006,690449,6,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,7.99
690449007,690449,7,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,14.99
690449009,690449,9,skinny_jeans,"cotton 99%, spandex 1%",,skinny_fit,17.99
690449011,690449,11,skinny_jeans,"cotton 99%, spandex 1%",,skinny_fit,17.99
690449013,690449,13,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,27.99
690449021,690449,21,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,25.99
690449022,690449,22,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449024,690449,24,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,20.99
690449028,690449,28,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,19.99
690449035,690449,35,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,21.99
690449036,690449,36,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449040,690449,40,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,29.99
690449043,690449,43,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449046,690449,46,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449051,690449,51,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449056,690449,56,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449059,690449,59,skinny_jeans,"cotton 98%, spandex 2%",,skinny_fit,39.99
690449062,690449,62,skinny_jeans,"shell: cotton 98%, spandex 2%",,skinny_fit,39.99
690449064,690449,64,skinny_jeans,"shell: cotton 98%, spandex 2%",,skinny_fit,39.99
690449067,690449,67,skinny_jeans,"shell: cotton 98%, spandex 2%",,skinny_fit,39.99
811993001,811993,1,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,12.99
811993002,811993,2,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,29.99
811993003,811993,3,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,18.99
811993006,811993,6,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,14.99
811993007,811993,7,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,22.99
811993021,811993,21,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,20.99
811993022,811993,22,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,16.99
811993024,811993,24,regular_jeans,"shell: cotton 99%, spandex 1%",,regular_fit,17.99
811993025,811993,25,regular_jeans,"shell: cotton 99%, spandex 1%",,regular_fit,15.99
811993028,811993,28,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,19.99
811993031,811993,31,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,22.99
811993034,811993,34,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,29.99
811993036,811993,36,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,29.99
811993037,811993,37,regular_jeans,"cotton 99%, spandex 1%",,regular_fit,29.99
811993039,811993,39,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,29.99
811993040,811993,40,regular_jeans,"cotton 98%, spandex 2%",,regular_fit,29.99
811993044,811993,44,regular_jeans,"shell: cotton 99%, spandex 1%",,regular_fit,29.99
811993048,811993,48,regular_jeans,"shell: cotton 98%, spandex 2%",,regular_fit,29.99
811993053,811993,53,regular_jeans,"shell: cotton 98%, spandex 2%",,regular_fit,29.99
875105001,875105,1,relaxed_jeans,cotton 100%,,relaxed_fit,22.99
875105002,875105,2,relaxed_jeans,cotton 100%,,relaxed_fit,39.99
875105003,875105,3,relaxed_jeans,cotton 100%,,relaxed_fit,39.99
875105009,875105,9,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105011,875105,11,relaxed_jeans,shell: cotton 100%,,relaxed_fit,22.99
875105015,875105,15,relaxed_jeans,cotton 100%,,relaxed_fit,22.99
875105016,875105,16,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105017,875105,17,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105018,875105,18,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105023,875105,23,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105024,875105,24,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105026,875105,26,relaxed_jeans,cotton 100%,,relaxed_fit,39.99
875105029,875105,29,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105040,875105,40,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
875105042,875105,42,relaxed_jeans,shell: cotton 100%,,relaxed_fit,39.99
927964001,927964,1,regular_tapered_crop_jeans,shell: cotton 100%,,regular_fit,19.99
927964002,927964,2,regular_tapered_crop_jeans,shell: cotton 100%,,regular_fit,19.99
927964003,927964,3,regular_tapered_crop_jeans,shell: cotton 100%,,regular_fit,19.99
927964004,927964,4,regular_tapered_crop_jeans,shell: cotton 100%,,regular_fit,19.99
927964005,927964,5,regular_tapered_crop_jeans,cotton 100%,,regular_fit,10.99
927964013,927964,13,regular_tapered_crop_jeans,shell: cotton 100%,,regular_fit,19.99
938875001,938875,1,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
938875002,938875,2,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,39.99
938875004,938875,4,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,18.99
938875007,938875,7,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,39.99
938875008,938875,8,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,39.99
938875010,938875,10,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,22.99
938875012,938875,12,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,39.99
938875013,938875,13,slim_tapered_jeans,"cotton 99%, spandex 1%",,slim_fit,21.99
938875014,938875,14,slim_tapered_jeans,"shell: cotton 98%, spandex 2%",,slim_fit,29.99
971061001,971061,1,slim_tapered_cropped_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
971061002,971061,2,slim_tapered_cropped_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
971061004,971061,4,slim_tapered_cropped_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
971061005,971061,5,slim_tapered_cropped_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
971061006,971061,6,slim_tapered_cropped_jeans,"cotton 99%, spandex 1%",,slim_fit,29.99
979945001,979945,1,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945002,979945,2,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945003,979945,3,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945009,979945,9,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945012,979945,12,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945019,979945,19,loose_jeans,shell: cotton 100%,,loose_fit,39.99
979945025,979945,25,loose_jeans,shell: cotton 100%,,loose_fit,39.99
985159001,985159,1,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159002,985159,2,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159003,985159,3,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,11.99
985159004,985159,4,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159005,985159,5,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159006,985159,6,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159007,985159,7,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985159008,985159,8,skinny_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,24.99
985197001,985197,1,slim_jeans,"shell: cotton 98%, spandex 2%",,slim_fit,19.99
985197002,985197,2,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,6.99
985197003,985197,3,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,19.99
985197004,985197,4,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,19.99
985197005,985197,5,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,15.99
985197006,985197,6,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,19.99
985197007,985197,7,slim_jeans,"shell: cotton 99%, spandex 1%",,slim_fit,19.99
993887001,993887,1,hybrid_regular_jeans,"cotton 77%, polyester 21%, spandex 2%",,regular_fit,39.99
993887002,993887,2,hybrid_regular_jeans,"cotton 77%, polyester 21%, spandex 2%",,regular_fit,29.99
993887004,993887,4,hybrid_regular_jeans,"cotton 79%, polyester 20%, spandex 1%",,regular_fit,22.99
993887007,993887,7,hybrid_regular_jeans,"cotton 80%, polyester 19%, spandex 1%",,regular_fit,39.99
993887008,993887,8,hybrid_regular_jeans,"cotton 78%, polyester 21%, spandex 1%",,regular_fit,39.99
1004199001,1004199,1,skinny_cropped_jeans,"cotton 99%, spandex 1%",,skinny_fit,29.99
1004199002,1004199,2,skinny_cropped_jeans,"cotton 99%, spandex 1%",,skinny_fit,29.99
1004199003,1004199,3,skinny_cropped_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,14.99
1004199004,1004199,4,skinny_cropped_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,29.99
1004199005,1004199,5,skinny_cropped_jeans,"shell: cotton 99%, spandex 1%",,skinny_fit,29.99
1004199007,1004199,7,skinny_cropped_jeans,"shell: cotton 98%, spandex 2%",,skinny_fit,29.99
1008110001,1008110,1,freefit®_slim_jeans,"shell: cotton 90%, elastomultiester 8%, spandex 2%",,slim_fit,49.99
1008110002,1008110,2,freefit®_slim_jeans,"shell: cotton 90%, elastomultiester 8%, spandex 2%",,slim_fit,49.99
1008110003,1008110,3,freefit®_slim_jeans,"shell: cotton 89%, elastomultiester 9%, spandex 2%",,slim_fit,49.99
1008110005,1008110,5,freefit®_slim_jeans,"shell: cotton 89%, elastomultiester 9%, spandex 2%",,slim_fit,49.99
1008110006,1008110,6,freefit®_slim_jeans,"shell: cotton 89%, elastomultiester 9%, spandex 2%",,slim_fit,49.99
1008110015,1008110,15,freefit®_slim_jeans,"shell: cotton 90%, elastomultiester 8%, spandex 2%",,slim_fit,49.99
